Tempo,Memória,Valor,Algoritmo,Arquivo
0.0059500,451,57,quadratic,100.txt
0.5806484,535,879,quadratic,1000.txt
0.0233291,451,147,quadratic,200.txt
2.2602617,535,1803,quadratic,2000.txt
14.1087414,535,30,quadratic,5000.txt
